nom,activites,adresse,code_postal,ville,departement,telephone_1,telephone_2,has_email_form,site_web,horaires,moyens_paiement,prestations,produits,zone_intervention,description,siren,siret,code_naf,date_creation,effectif,type_etablissement,note_pj,nb_avis_pj,url_pagesjaunes,date_extraction
Pierre Fritz,Plombiers,Cite Eau Lisette 36 cité Eau Lisette 97300 Cayenne,97300,Cayenne,973,0338149222,0594318998,non,,Lundi: 07h00 - 00h00 | Mardi: 07h00 - 00h00 | Mercredi: 07h00 - 00h00 | Jeudi: 07h00 - 00h00 | Vendredi: 07h00 - 00h00 | Samedi: 07h00 - 00h00 | Dimanche: 07h00 - 00h00,,,,,,489537308,48953730800012,4391B,3 avril 2006,0 salarié,Siège,,,https://www.pagesjaunes.fr/pros/58735028,2026-01-25
PLOMBELEC 973,Plombiers,7 rue Bernard Pavant 97360 Mana,97360,Mana,973,0694269607,0338149222,non,,,,,,,,524542172,52454217200019,4322A,24 août 2010,,Siège,,,https://www.pagesjaunes.fr/pros/53811396,2026-01-25
Plomb'Immo Guyane,Plombiers | Énergies renouvelables,chemin Morthium 97351 Matoury,97351,Matoury,973,0694255369,0694146156,non,,,,,,,,880862115,88086211500016,4322A,20 janvier 2020,,Siège,,,https://www.pagesjaunes.fr/pros/55348236,2026-01-25
VERT D'EAU PLOMBERIE,Plombiers,17 rue Doct Gabriel Devèze 97300 Cayenne,97300,Cayenne,973,0694973049,0338149222,non,,,,,,,,811456987,81145698700015,4322A,18 juin 2015,0 salarié,Siège,,,https://www.pagesjaunes.fr/pros/55975836,2026-01-25
JLS Plomberie,Plombiers,13 lotissement Balisiers 97354 Remire Montjoly,97354,Remire Montjoly,973,0694287031,0338149222,non,,,,,,,,518600341,51860034100029,4322A,10 janvier 2010,,Siège,,,https://www.pagesjaunes.fr/pros/52400148,2026-01-25
Ultimate Plomberie,Plombiers,53 rue Digue Galmot 97300 Cayenne,97300,Cayenne,973,0694277228,0338149222,non,,,,,,,,,,,,,,,,https://www.pagesjaunes.fr/pros/54101759,2026-01-25
P.C.S,Plombiers,24 cité Mortin 97300 Cayenne,97300,Cayenne,973,0594351277,0694153494,non,,,,,,,,502041221,50204122100032,4322A,11 janvier 2008,3 à 5 salariés,Siège,,,https://www.pagesjaunes.fr/pros/58699624,2026-01-25
I.D.P.P.E,Plombiers,29 Lot Cotonniere Balata Ouest rue Filaos 97351 Matoury,97351,Matoury,973,0694261089,0338149222,non,,,,,,,,,,,,,,,,https://www.pagesjaunes.fr/pros/51347649,2026-01-25
Helios,Plombiers,21 Bis lotissement Clos Fleuri 97354 Remire Montjoly,97354,Remire Montjoly,973,0694446127,0694401480,non,,,,,,,,752045146,75204514600038,4322A,25 mai 2012,1 à 2 salariés,Siège,,,https://www.pagesjaunes.fr/pros/54041477,2026-01-25
PG. Palms,Plombiers,10 lotissement Eutrope 97354 Remire Montjoly,97354,Remire Montjoly,973,0694209109,0694401480,non,,,,,,,,797782729,79778272900017,0113Z,9 octobre 2013,,Siège,4,,https://www.pagesjaunes.fr/pros/55162693,2026-01-25
DPEG Sas,Plombiers | Dépannage plomberie,Cite Pasteur 8 rue Ebènes 97300 Cayenne,97300,Cayenne,973,0694134316,0594318998,non,,,,,,,,852469782,85246978200019,4322A,,,Siège,,,https://www.pagesjaunes.fr/pros/63568996,2026-01-25
SEANCE MITTERAND PLOMBERIE,Plombiers,28 rue Jadfard 97300 Cayenne,97300,Cayenne,973,0694904507,0338149222,non,,,,,,,,534301957,53430195700013,4322A,25 août 2011,1 à 2 salariés,Siège,1,,https://www.pagesjaunes.fr/pros/53164764,2026-01-25
